	gene	group	pval
178	ABRACL	AECOPD	0.4223674860996569
179	ABRACL	StableCOPD	0.10172811619244126
180	ABT1	AECOPD	0.4555099179856402
181	ABT1	StableCOPD	0.8480570251418671
182	ABTB1	AECOPD	0.5519019737378377
183	ABTB1	StableCOPD	0.043920562678473773
184	ABTB2	AECOPD	0.5720822262279703
185	ABTB2	StableCOPD	0.12911259523127172
186	ACAA1	AECOPD	0.0055587552419681385
187	ACAA1	StableCOPD	0.012553461737441984
188	ACAA2	AECOPD	0.6875622450349366
189	ACAA2	StableCOPD	0.3130786661155809
190	ACACA	AECOPD	0.5400294259086855
191	ACACA	StableCOPD	0.6452266542300356
192	ACACB	AECOPD	0.8499330982418513
193	ACACB	StableCOPD	0.9072917461735075
194	ACAD10	AECOPD	0.0026422385948409177
195	ACAD10	StableCOPD	0.0442728373014043
196	ACAD11	AECOPD	0.028942546509522882
197	ACAD11	StableCOPD	0.43891505087793414
198	ACAD8	AECOPD	0.29711236786867756
199	ACAD8	StableCOPD	0.3575563463634148
200	ACAD9	AECOPD	0.41521781463474594
201	ACAD9	StableCOPD	0.9092783419060476
202	ACADM	AECOPD	0.6779121014540208
203	ACADM	StableCOPD	0.9353841352162444
204	ACADS	AECOPD	0.7998486971584886
205	ACADS	StableCOPD	0.49928425440805113
206	ACADSB	AECOPD	0.46873990490879003
207	ACADSB	StableCOPD	0.6983839734911501
208	ACADVL	AECOPD	0.10600957131974098
209	ACADVL	StableCOPD	0.10371274246795925
210	ACAP1	AECOPD	0.27254594942342514
211	ACAP1	StableCOPD	0.9743586559950049
212	ACAP2	AECOPD	0.001337671394034623
213	ACAP2	StableCOPD	0.47068705580752224
214	ACAP3	AECOPD	0.7273889740802268
215	ACAP3	StableCOPD	0.0016107610663689265
216	ACAT1	AECOPD	0.08109029269752122
217	ACAT1	StableCOPD	0.6559713036032051
218	ACAT2	AECOPD	0.36211038081686053
219	ACAT2	StableCOPD	0.7997486952285867
220	ACBD3	AECOPD	0.52667866760247
221	ACBD3	StableCOPD	0.8674047542140275
222	ACBD4	AECOPD	0.45831400439095404
223	ACBD4	StableCOPD	0.9140355067040409
224	ACBD5	AECOPD	0.3983388572832206
225	ACBD5	StableCOPD	0.5826418526420651
226	ACBD6	AECOPD	0.5174101261920911
227	ACBD6	StableCOPD	0.019828497216745733
228	ACCS	AECOPD	0.9419397346271419
229	ACCS	StableCOPD	0.9443118727262414
230	ACD	AECOPD	0.2652884756791001
231	ACD	StableCOPD	0.8093973983516145
232	ACE	AECOPD	0.12085036889992384
233	ACE	StableCOPD	0.5142791679884253
234	ACER1	AECOPD	0.3016035004123444
235	ACER1	StableCOPD	0.8721494828563737
236	ACER2	AECOPD	0.02460833978089949
237	ACER2	StableCOPD	0.645353549383759
238	ACER3	AECOPD	0.0016979532367662475
239	ACER3	StableCOPD	0.5085376815156047
240	ACHE	AECOPD	0.5034953020543003
241	ACIN1	AECOPD	0.6978704071515967
242	ACIN1	StableCOPD	0.7694808526675903
243	ACKR3	AECOPD	0.002429664559301603
244	ACKR3	StableCOPD	0.0019725615139559727
245	ACKR4	AECOPD	0.0967317751197253
246	ACLY	AECOPD	0.33594890139272093
247	ACLY	StableCOPD	0.4092496249322529
248	ACO1	AECOPD	0.026099714744764357
249	ACO1	StableCOPD	0.6924215877535354
250	ACO2	AECOPD	0.0028044841776734275
251	ACO2	StableCOPD	0.006393142453852141
252	ACOT11	AECOPD	0.8629836951313756
